contig00001:	 No microsatellites found (or repeat region < min_length)
contig00003:	 No microsatellites found (or repeat region < min_length)
contig00005:	 No microsatellites found (or repeat region < min_length)
contig00007:	 No microsatellites found (or repeat region < min_length)
contig00009:	 No microsatellites found (or repeat region < min_length)
contig00010:	 No microsatellites found (or repeat region < min_length)
contig00011:	 No microsatellites found (or repeat region < min_length)
contig00012:	 No microsatellites found (or repeat region < min_length)
contig00013:	 No microsatellites found (or repeat region < min_length)
contig00014:	 No microsatellites found (or repeat region < min_length)
contig00015:	 No microsatellites found (or repeat region < min_length)
contig00022:	 No microsatellites found (or repeat region < min_length)
contig00023:	 No microsatellites found (or repeat region < min_length)
contig00024:	 No microsatellites found (or repeat region < min_length)
contig00026:	 No microsatellites found (or repeat region < min_length)
contig00027:	 No microsatellites found (or repeat region < min_length)
contig00028:	 No microsatellites found (or repeat region < min_length)
contig00030:	 No microsatellites found (or repeat region < min_length)
contig00031:	 No microsatellites found (or repeat region < min_length)
contig00033:	 No microsatellites found (or repeat region < min_length)
contig00034:	 No microsatellites found (or repeat region < min_length)
contig00035:	 No microsatellites found (or repeat region < min_length)
contig00039:	 No microsatellites found (or repeat region < min_length)
contig00040:	 No microsatellites found (or repeat region < min_length)
contig00044:	 No microsatellites found (or repeat region < min_length)
contig00049:	 No microsatellites found (or repeat region < min_length)
contig00051:	 No microsatellites found (or repeat region < min_length)
contig00056:	 No microsatellites found (or repeat region < min_length)
contig00059:	 No microsatellites found (or repeat region < min_length)
contig00062:	 No microsatellites found (or repeat region < min_length)
contig00063:	 No microsatellites found (or repeat region < min_length)
contig00076:	 No microsatellites found (or repeat region < min_length)
contig00078:	 No microsatellites found (or repeat region < min_length)
contig00079:	 No microsatellites found (or repeat region < min_length)
contig00080:	 No microsatellites found (or repeat region < min_length)
contig00081:	 No microsatellites found (or repeat region < min_length)
contig00084:	 No microsatellites found (or repeat region < min_length)
contig00086:	 No microsatellites found (or repeat region < min_length)
contig00087:	 No microsatellites found (or repeat region < min_length)
contig00092:	 No microsatellites found (or repeat region < min_length)
contig00095:	 No microsatellites found (or repeat region < min_length)
contig00098:	 No microsatellites found (or repeat region < min_length)
contig00101:	 No microsatellites found (or repeat region < min_length)
contig00103:	 No microsatellites found (or repeat region < min_length)
contig00106:	 No microsatellites found (or repeat region < min_length)
contig00109:	 No microsatellites found (or repeat region < min_length)
contig00112:	 No microsatellites found (or repeat region < min_length)
contig00113:	 No microsatellites found (or repeat region < min_length)
contig00114:	 No microsatellites found (or repeat region < min_length)
contig00117:	 No microsatellites found (or repeat region < min_length)
contig00118:	 No microsatellites found (or repeat region < min_length)
contig00119:	 No microsatellites found (or repeat region < min_length)
contig00120:	 No microsatellites found (or repeat region < min_length)
contig00124:	 No microsatellites found (or repeat region < min_length)
contig00128:	 No microsatellites found (or repeat region < min_length)
contig00129:	 No microsatellites found (or repeat region < min_length)
contig00130:	 No microsatellites found (or repeat region < min_length)
contig00131:	 No microsatellites found (or repeat region < min_length)
contig00133:	 No microsatellites found (or repeat region < min_length)
contig00134:	 No microsatellites found (or repeat region < min_length)
contig00137:	 No microsatellites found (or repeat region < min_length)
contig00146:	 No microsatellites found (or repeat region < min_length)
contig00147:	 No microsatellites found (or repeat region < min_length)
contig00148:	 No microsatellites found (or repeat region < min_length)
contig00149:	 No microsatellites found (or repeat region < min_length)
contig00150:	 No microsatellites found (or repeat region < min_length)
contig00151:	 No microsatellites found (or repeat region < min_length)
contig00152:	 No microsatellites found (or repeat region < min_length)
contig00154:	 No microsatellites found (or repeat region < min_length)
contig00155:	 No microsatellites found (or repeat region < min_length)
contig00156:	 No microsatellites found (or repeat region < min_length)
contig00158:	 No microsatellites found (or repeat region < min_length)
contig00165:	 No microsatellites found (or repeat region < min_length)
contig00170:	 No microsatellites found (or repeat region < min_length)
contig00174:	 No microsatellites found (or repeat region < min_length)
contig00176:	 No microsatellites found (or repeat region < min_length)
contig00180:	 No microsatellites found (or repeat region < min_length)
contig00184:	 No microsatellites found (or repeat region < min_length)
contig00193:	 No microsatellites found (or repeat region < min_length)
contig00194:	 No microsatellites found (or repeat region < min_length)
contig00195:	 No microsatellites found (or repeat region < min_length)
contig00203:	 No microsatellites found (or repeat region < min_length)
contig00207:	 No microsatellites found (or repeat region < min_length)
contig00208:	 No microsatellites found (or repeat region < min_length)
contig00213:	 No microsatellites found (or repeat region < min_length)
contig00214:	 No microsatellites found (or repeat region < min_length)
contig00218:	 No microsatellites found (or repeat region < min_length)
contig00221:	 No microsatellites found (or repeat region < min_length)
contig00224:	 No microsatellites found (or repeat region < min_length)
contig00226:	 No microsatellites found (or repeat region < min_length)
contig00230:	(AC)^6	repeat between bases	623	and	635
contig00233:	 No microsatellites found (or repeat region < min_length)
contig00234:	 No microsatellites found (or repeat region < min_length)
contig00245:	 No microsatellites found (or repeat region < min_length)
contig00248:	(AAG)^6	repeat between bases	2	and	20
contig00249:	 No microsatellites found (or repeat region < min_length)
contig00250:	 No microsatellites found (or repeat region < min_length)
contig00251:	 No microsatellites found (or repeat region < min_length)
contig00252:	 No microsatellites found (or repeat region < min_length)
contig00253:	 No microsatellites found (or repeat region < min_length)
contig00254:	 No microsatellites found (or repeat region < min_length)
contig00256:	 No microsatellites found (or repeat region < min_length)
contig00257:	 No microsatellites found (or repeat region < min_length)
contig00259:	 No microsatellites found (or repeat region < min_length)
contig00261:	 No microsatellites found (or repeat region < min_length)
contig00262:	 No microsatellites found (or repeat region < min_length)
contig00263:	(AT)^6	repeat between bases	1121	and	1133
contig00266:	 No microsatellites found (or repeat region < min_length)
contig00267:	 No microsatellites found (or repeat region < min_length)
contig00268:	 No microsatellites found (or repeat region < min_length)
contig00270:	 No microsatellites found (or repeat region < min_length)
contig00271:	 No microsatellites found (or repeat region < min_length)
contig00274:	 No microsatellites found (or repeat region < min_length)
contig00276:	 No microsatellites found (or repeat region < min_length)
contig00279:	 No microsatellites found (or repeat region < min_length)
contig00281:	 No microsatellites found (or repeat region < min_length)
